Work Order,Description,Description Google Translate,Asset Group,Asset Number,Asset Description,Create Date,Scheduled Start Date,Priority,Status,Owning Department,Work Order Type,Activity,Wip Accounting Class,Month, Actual Equipment Cost ,Labour Cost Group,Material Cost Group,Total Cost Group
3009126,"Inspeccionar sistema de c†maras, reportan que no enciende. (DISPACH)","Inspect camera system, report that it does not turn on.ˇ(DISPACH)",CAT789CELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-06-16 6:46,1/14/2016 13:00,2 - Due less than 14 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,6,0,6
3009161,"Inspeccionar sistema de c†maras, reportan que no enciende.","Inspect camera system, report that it does not turn on.",CAT789DELS,422,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789D 422,01-06-16 7:15,03-02-16 0:24,2 - Due less than 14 days,Closed,MM3,PM - Preventative,,18601401,2016-MAR, $-   ,2,0,2
3009789,Instalar numero de ficha del camion en las zonas laterales de la tolva.,Install truck number on the sides of the hopper.,CAT789C,403,HAULTRUCK CATERPILLAR 789C 403,01-06-16 11:28,7/19/2016 6:15,2 - Due less than 14 days,Closed,MM3,CM - Corrective,,18601401,2016-APR, $-   ,0,0,0
3009816,Instalar numero de ficha del camion en ambas zonas laterales de la tolva.,Install truck number on both sides of the hopper.,CAT789C,408,HAULTRUCK CATERPILLAR 789C 408,01-06-16 11:39,8/27/2016 8:41,2 - Due less than 14 days,Complete,MM3,CM - Corrective,,18601401,2016-JUN, $-   ,0,11,11
3009873,Instalar numero de ficha del camion en ambas zonas laterales de la tolva.,Install truck number on both sides of the hopper.,CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,01-06-16 12:08,8/22/2016 7:00,2 - Due less than 14 days,Complete,MM3,CM - Corrective,,18601401,2016-JUN, $-   ,0,11,11
3009934,Instalar numero de ficha del camion en ambas zonas laterales de la tolva.,Install truck number on both sides of the hopper.,CAT789D,434,HAULTRUCK CATERPILLAR 789D 434,01-06-16 12:36,8/13/2016 11:51,2 - Due less than 14 days,Complete,MM3,CM - Corrective,,18601401,2016-JUN, $-   ,0,11,11
3010790,CAMBIAR MOTOR DE ARRANQUE,CHANGE STARTING MOTOR,CAT789CELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-07-16 6:39,01-07-16 6:36,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,11,22,22
3010830,INSPECCION A/C EN INSP. 250 HRS,INSPECTION A / C IN INSP.ˇ250 HRS,CAT789DACS,434,AIR CONDITIONER SYSTEM HAULTRUCK CATTERPILLAR 789D 434,01-07-16 7:12,1/16/2016 7:04,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3010847,INSPECCION A/C EN INSP. 1000 HRS,INSPECTION A / C IN INSP.ˇ1000 HRS,CAT789CACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-07-16 7:17,1/15/2016 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3010858,INSPECCION A/C EN INSP. 4000 HRS.,INSPECTION A / C IN INSP.ˇ4000 HRS.,CAT789CACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-07-16 7:21,1/14/2016 7:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3010883,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,CAT789CTIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-07-16 7:35,1/14/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,CAT789CPV180,18601401,2016-JAN, $-   ,3,0,3
3010886,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,CAT789CTIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-07-16 7:36,1/15/2016 7:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,CAT789CPV180,18601401,2016-JAN, $-   ,1,0,1
3010891,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,CAT789DTIR,434,TIRE SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-07-16 7:38,1/16/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,CAT789DPV181,18601401,2016-JAN, $-   ,2,0,2
3010915,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 250 HRS),AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),CAT789DFIR,434,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-07-16 7:54,1/16/2016 7:46,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3010929,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 1000 HRS),AFEX FIRE SYSTEM INSPECTION (PM 1000 HRS),CAT789CFIR,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-07-16 7:59,1/15/2016 9:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3010936,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 4000 HRS),INSPECTION FIRE SYSTEM AFEX (PM 4000 HRS),CAT789CFIR,408,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-07-16 8:02,1/14/2016 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3011097,"AJUSTAR VALVULAS, ROTADORES Y/O INYECTORES AL MOTOR TERMICO (CAT789C)","ADJUST VALVES, ROTATORS AND / OR INJECTORS TO THE THERMAL ENGINE (CAT789C)",CAT789CENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,01-07-16 10:20,1/14/2016 10:00,4 - Due more than 30 days,Closed,MM3,PM - Preventative,CAT789CPV200,18601401,2016-JAN, $-   ,12,0,12
3011470,retorqueo de llanta pos 3 y 6,Tire re-pos pos 3 and 6,CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,01-07-16 13:44,01-07-16 13:37,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3012817,REPARAR RUIDO EN LOS FRENOS.,REPAIR NOISE ON THE BRAKES.,CAT789CDTS,408,SYSTEM BRAKE DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-09-16 9:21,01-09-16 9:20,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,5,0,5
3012861,INSPECCION DE LLANTAS.,INSPECTION OF TIRES.,CAT789CTIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-09-16 11:35,01-09-16 11:34,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,2,0,2
3012897,REALIZAR ALINEAMIENTO DE LLANTAS DELANTERAS.,PERFORM ALIGNMENT OF FRONT RIMS.,CAT789CHYS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-09-16 12:58,01-09-16 12:54,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3013931,CAMBIAR BATERIA Y VALVULA DEL RETARDADOR MANUAL.,CHANGE BATTERY AND MANUAL RETARDER VALVE.,CAT789CELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-11-16 6:41,01-11-16 6:37,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,15,15
3014172,CAMBIAR VALVULA DEL FRENO DEL RETARDADOR MANUAL. (BACKLOG),CHANGE MANUAL RETARDER BRAKE VALVE.(BACKLOG),CAT789CDTS,408,SYSTEM BRAKE DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-11-16 9:43,01-11-16 9:42,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3014942,"(no sera necesario realizer este trabajo) corte de 68 chapa de 3/16"" de espesor segun plantilla sunistrada por el area","(This work will not be necessary) cut of 68 3/16 ""thick sheet according to the template shown by the area",CAT789DIMP,434,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-11-16 13:15,2/29/2016 16:15,2 - Due less than 14 days,Closed,PM7,CM - Corrective,,18601401,2016-MAR, $-   ,0,0,0
3016640,CAMBIAR LLANTA POSICION 5. POR LLANTA PINCHADA.,CHANGE ROLL POSITION 5. BY ROLL CLAMP.,CAT789DTIR,434,TIRE SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-12-16 10:41,01-12-16 10:39,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,12,11,13
3017595,RETORQUIAR LLANTA POS - 6.,RETORQUIAR LLANTA POS - 6.,CAT789DTIR,434,TIRE SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-12-16 21:14,01-12-16 21:13,0 - Immediate,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,3,0,3
3019509,corregir fuga de aceite por manguera del convertidor,Correct leakage of oil by converter hose,CAT789C,408,HAULTRUCK CATERPILLAR 789C 408,1/13/2016 14:21,1/13/2016 14:12,0 - Immediate,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3019747,chequeo de luces de la camara trasera y alarma de retroceso,Check of lights of the back camera and alarm of recoil,CAT789DELS,422,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/13/2016 21:17,1/13/2016 21:13,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3019757,chequeo de frenos,Brake check,CAT789DDTS,434,BRAKE SYSTEM DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/13/2016 21:37,1/13/2016 21:35,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,11,0,11
3019761,cambiar slack de freno derecho delantero,Change front brake slack,CAT789D,434,HAULTRUCK CATERPILLAR 789D 434,1/13/2016 22:02,1/13/2016 22:00,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,12,20,20
3020119,reparacion del lateral superior de la tolva del derecho,Repair of the upper side of the right hopper,CAT789CIMP,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,1/14/2016 6:19,3/31/2016 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3020185,REEMPLAZAR MANGUERA DEL CONVERTIDOR,REPLACE CONVERTER HOSE,CAT789CHYS,408,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,1/14/2016 7:54,1/14/2016 7:51,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,3,0,3
3020224,"ADICIONAL EN PARTES SUSPENSION FRONT, REBUILDABLE, 789D (422) S/N 789CDRUDSUSDEL034_ REFERENCIA  PO 167569 LINEA 3_CID 81086154_PRESUPUESTO 15373","ADDITIONAL IN PARTS SUSPENSION FRONT, REBUILDABLE, 789D (422) S / N 789CDRUDSUSDEL034_ REFERENCE PO 167569 LINE 3_CID 81086154_PRESUPUESTO 15373",CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/14/2016 8:25,1/14/2016 8:25,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3020227,"ADICIONAL EN PARTES SUSPENSION FRONT, REBUILDABLE, 789D (422) S/N 789CDRUDSUSDEL035_ REFERENCIA  PO 167569 LINEA 4_CID 81086154_PRESUPUESTO 15374","ADDITIONAL IN PARTS SUSPENSION FRONT, REBUILDABLE, 789D (422) S / N 789CDRUDSUSDEL035_ REFERENCE PO 167569 LINE 4_CID 81086154_PRESUPUESTO 15374",CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/14/2016 8:27,1/14/2016 8:26,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3020373,INSPECCION A/C EN INSP. 250 HRS,INSPECTION A / C IN INSP.ˇ250 HRS,CAT789DACS,422,AIR CONDITIONER SYSTEM HAULTRUCK CATTERPILLAR 789D 422,1/14/2016 10:34,1/20/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3020419,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 250 HRS),AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),CAT789DFIR,422,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/14/2016 10:54,1/20/2016 11:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3020470,"ADICIONAL EN PARTES CYLINDER, HOIST, REBUILDABLE 789D (422) S/N 789CDCILLEV028_REFERENCIA PO 170541 LINEA 1 _CID 81086160_PRESUPUESTO 15290","ADDITIONAL IN PARTS CYLINDER, HOIST, REBUILDABLE 789D (422) S / N 789CDCILLEV028_REFERENCE PO 170541 LINE 1 _CID 81086160_PRESUPUESTO 15290",CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/14/2016 11:35,1/14/2016 11:31,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3020474,"ADICIONAL EN PARTES CYLINDER, HOIST, REBUILDABLE 789D (422) S/N 789CDCILLEV029_REFERENCIA PO 170541 LINEA 2 _CID 81086160_PRESUPUESTO 15292","ADDITIONAL IN PARTS CYLINDER, HOIST, REBUILDABLE 789D (422) S / N 789CDCILLEV029_REFERENCE PO 170541 LINE 2 _CID 81086160_PRESUPUESTO 15292",CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/14/2016 11:38,1/14/2016 11:37,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3020478,"ADICIONAL EN PARTES CYLINDER, HOIST, REBUILDABLE 789D (422) S/N 789CDCILLEV030_REFERENCIA PO 170541 LINEA 3 _CID 81086160_PRESUPUESTO 15293","ADDITIONAL IN PARTS CYLINDER, HOIST, REBUILDABLE 789D (422) S / N 789CDCILLEV030_REFERENCE PO 170541 LINE 3 _CID 81086160_PRESUPUESTO 15293",CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/14/2016 11:39,1/14/2016 11:38,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3020481,CORREGIR FUGA EN TUBER?A DE FRENOS TRASEROS,CORRELATE LEAKAGE IN REAR BRAKE PIPE,CAT789DDTS,434,BRAKE SYSTEM DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/14/2016 11:48,1/14/2016 11:47,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,5,0,5
3020825,corregir escape de aceite de motor,To correct engine oil leak,CAT789CENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,1/14/2016 21:26,1/14/2016 21:24,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3021141,CAMBIO DE LLANTAS 1 Y 2 POR ROTACION,CHANGE OF RIMS 1 AND 2,CAT789DTIR,422,TIRE SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/15/2016 6:17,1/20/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,CAT789DPV076,18601401,2016-JAN, $-   ,0,0,0
3021169,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,CAT789DTIR,422,TIRE SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/15/2016 6:42,1/20/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,CAT789DPV181,18601401,2016-JAN, $-   ,1,0,1
3022057,INSTALAR BASE PARA EL CABLE DE LA TOLVA,INSTALL BASE FOR THE HOPPER CABLE,CAT789CIMP,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,1/16/2016 12:38,1/16/2016 12:36,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,3,0,3
3022061,INSTALAR BASE PORTA CABLE DE LA TOLVA,INSTALL BASE CABLE HOLDER CABLE,CAT789CIMP,408,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 408,1/16/2016 12:43,1/16/2016 12:42,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3022070,"CAMBIO DEL CILINDRO DE DIRECCION IZQUIERDO (BACKLOG), POR FUGA N2 PD OBSOLETA* NO STOCK 81081220","CHANGE OF LEFT DIRECTION CYLINDER (LEFT), BY LEAK N2 PD OBSOLETE * NO STOCK 81081220",CAT789DHYS,434,CYLINDER STEERING LEFT HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/16/2016 13:04,1/31/2017 16:48,3 - Due less than 30 days,Cancelled,MM3,CM - Corrective,,18601401,2016-APR, $-   ,0,0,0
3022078,CAMBIO DE HOUSING DEL FILTRO DEL DIFERENCIAL (BACKLOG),DIFFERENTIAL FILTER HOUSING CHANGE (BACKLOG),CAT789DDTS,434,DIFFERENTIAL DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/16/2016 13:13,5/17/2016 20:00,3 - Due less than 30 days,Closed,MM3,CM - Corrective,,18601401,2016-APR, $-   ,0,0,0
3022079,"CAMBIO DE LA MANGUERA BY PASS DESDE EL OIL COOLER DEL MOTOR HASTA EL RADIADOR (BACKLOG), POR DESGASTE","CHANGING THE HOSE BY PASS FROM THE OIL COOLER OF THE ENGINE TO THE RADIATOR (BACKLOG), BY WEAR",CAT789DHYS,434,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/16/2016 13:20,3/26/2016 19:11,3 - Due less than 30 days,Closed,MM3,CM - Corrective,,18601401,2016-MAR, $-   ,2,20,20
3022081,"CAMBIO DE LA MANGUERA DE ENFRIAMIENTO DEL CONVERTIDOR AL SCREEN (BACKLOG), POR ABRASION","CHANGE OF CONVERTER COOLING HOSE TO SCREEN (BACKLOG), BY ABRASION",CAT789DDTS,434,TORQUE CONVERTER DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/16/2016 13:26,1/29/2016 14:18,3 - Due less than 30 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,3,16,17
3022085,"CAMBIO DE LA MANGUERA DE RETORNO DE LA BOMBA DE LA TRANSMISION (BACKLOG), POR ABRASION",CHANGING THE BACKLOG RETURN HOSE BY ABRASION,CAT789DDTS,434,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/16/2016 13:33,3/26/2016 18:54,3 - Due less than 30 days,Closed,MM3,CM - Corrective,,18601401,2016-MAR, $-   ,2,14,14
3022107,instalar base de soporte al fender izquierdo,Install support base to the left fender,CAT789C,403,HAULTRUCK CATERPILLAR 789C 403,1/16/2016 14:20,06-04-16 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-MAR, $-   ,0,0,0
3022114,instalar base de soporte al fender izquierdo,Install support base to left fender,CAT789C,408,HAULTRUCK CATERPILLAR 789C 408,1/16/2016 14:26,02-11-16 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-FEB, $-   ,11,0,11
3022776,EVALUAR CARRERA DE FRENO ALTO.,EVALUATE HIGH BRAKE RACE.,CAT789DDTS,434,BRAKE SYSTEM DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,1/17/2016 23:11,1/17/2016 23:10,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,3,0,3
3023274,FALTA UN PELDANO EN LA ESCALERA IZQUIERDA (DISPACH),LACK A PELDANO IN THE LEFT LADDER (DISPACH),CAT789D,422,HAULTRUCK CATERPILLAR 789D 422,1/18/2016 7:34,03-02-16 1:54,2 - Due less than 14 days,Closed,MM3,CM - Corrective,,18601401,2016-MAR, $-   ,2,0,2
3023992,CORREGIR FUGA DE ACEITE POR VALVULA DE CONTROL DE LEVANTE.,CORRECTION OIL LEAKAGE BY LIFT CONTROL VALVE.,CAT789DIMP,422,IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/18/2016 13:50,1/18/2016 13:48,0 - Immediate,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,5,0,5
3025833,"CAMBIAR LUZ DE BAJA INTENSIDAD, LADO INFERIOR DERECHO.","CHANGE LOW INTENSITY LIGHT, LOWER SIDE RIGHT.",CAT789DELS,422,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789D 422,1/19/2016 19:01,1/19/2016 19:00,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,2,0,2
3026600,INSPECCION A/C EN INSP. 250 HRS,INSPECTION A / C IN INSP.ˇ250 HRS,CAT789CACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,1/20/2016 5:17,1/26/2016 15:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3026661,INSPECCION A/C EN INSP. 250 HRS,INSPECTION A / C IN INSP.ˇ250 HRS,CAT789CACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,1/20/2016 5:18,1/27/2016 10:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3026692,INSPECCION A/C EN INSP. 500 HRS,INSPECTION A / C IN INSP.ˇ500 HRS,CAT789DACS,434,AIR CONDITIONER SYSTEM HAULTRUCK CATTERPILLAR 789D 434,1/20/2016 5:55,1/29/2016 5:13,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3026703,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 250 HRS),AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),CAT789CFIR,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,1/20/2016 6:11,1/26/2016 14:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
