Equipo,Start Time,Week,Sistema,System_google_translated,Estado/C¢digo,C¢digo de tipo,End Time,Duration (min),Duration (hrs),Work Type,Comentario,Commentary_google_translated,Locaton
TK408,01-04-16 7:24,Week-02,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,01-04-16 7:32,7.92,0.1,No programado,"SE INSPECCION? UNA FUGA POR LA MASA MU•?N  DE LA LLANTA N?MERO 2, QUED? OPERATIVO  ","BE INSPECTION?†A LEAK FOR THE GROUND MU√ • N OF THE RIM N ∞ 2, QUED?†OPERATION",S-LG1B/330
TK408,01-04-16 15:24,Week-02,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,01-04-16 16:38,74.52,1.2,No programado,CLOMPLETIVO DE AIRE PARA ENCENDIDO,CLOMPLETIVO OF AIR FOR IGNITION,QQ-12
TK408,01-05-16 9:55,Week-02,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,01-05-16 14:58,302.3,5,No programado,FLOTA DE COMBUSTIBLE SUCCIONO AIRE Y SE APAGO,FUEL FLETION SUCCIONO AIR AND TURN OFF,HR7 ENTRADA
TK434,01-05-16 7:53,Week-02,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,01-05-16 16:31,518.18,8.6,No programado,FUGA DE ACEITE POR MANGUERA DEL PAQUETE DE FRENOS POSICION 1,HOSE OIL LEAKAGE FROM THE BRAKE PACK POSITION 1,ENTRADA DE COMBUSTIBLE
TK422,01-05-16 20:59,Week-02,MOTOR,MOTOR,EN-1035  MOTOR-ACEITE,C¢digo Secundario,01-05-16 23:36,156.32,2.6,No programado,NIVEL BAJO ACEITE MOTOR,LOW ENGINE OIL LEVEL,PQ-VIA1
TK434,01-05-16 22:27,Week-02,HIDRAULICO,HYDRAULIC,HY-1230  HIDRAULICO-CAJA DE TRANSFERENCIA-PTO,C¢digo Secundario,01-06-16 3:49,322.23,5.4,No programado,CAMBIO DE CRUSETAS AL CARDAM DE LA BOMBA DE IMPLEMENTOS,CHANGE OF CRUSETAS TO THE CARDAM OF THE IMPLEMENT PUMP,QQ180A019
TK403,01-07-16 3:59,Week-02,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,01-07-16 4:14,14.87,0.2,No programado,EVALUACION DE LAS CAMARAS DE SEGURIDAD,EVALUATION OF SECURITY CAMERAS,ENTRADA DE COMBUSTIBLE
TK422,01-07-16 4:41,Week-02,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,01-07-16 4:54,12.93,0.2,Programado,EVALUACION DE LAS CAMARAS DE SEGURIDAD,EVALUATION OF SECURITY CAMERAS,ENTRADA DE COMBUSTIBLE
TK408,01-07-16 7:00,Week-02,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,01-07-16 8:33,93.08,1.6,No programado,AIRE PARA ENCENDIDO-QQ180,AIR FOR IGNITION-QQ180,QQ-01
TK434,01-07-16 9:19,Week-02,MOTOR,MOTOR,EN-1020  MOTOR-ESCAPE,C¢digo Secundario,01-07-16 9:50,30.87,0.5,No programado,EVENTO CONTROL MOTOR ERROR NIVEL 2 FIJO,EVENT MOTOR CONTROL ERROR LEVEL 2 FIXED,HR6-VIA3
TK408,01-07-16 8:45,Week-02,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-825  ELECTRICO 12/24 VOLTS-ARRANQUE,C¢digo Secundario,01-07-16 12:03,197.98,3.3,No programado,CAMBIO DE MOTOR DE ARRANQUE,CHANGE OF STARTING ENGINE,QQ-01
TK422,01-07-16 15:22,Week-02,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2005  GOMAS, AROS Y LLANTAS-AROS/ACCESORIOS",C¢digo Secundario,01-07-16 17:30,128.25,2.1,No programado,RETORQUEO DE LLANTAS,RETURNING OF TIRES,ENTRADA DE COMBUSTIBLE
TK422,01-07-16 17:30,Week-02,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,01-07-16 17:41,10.75,0.2,No programado,CAMBIO DE MANGUERA HIDRAULICA,CHANGE OF HYDRAULIC HOSE,ENTRADA DE COMBUSTIBLE
TK434,01-08-16 8:37,Week-02,SEGURIDAD,SECURITY,SF-1625  SEGURIDAD-INTHINC,C¢digo Secundario,01-08-16 9:20,43.3,0.7,No programado,REPARACION DE JIGSAW,REPAIR OF JIGSAW,QQ-02
TK434,01-08-16 15:20,Week-02,CABINA/CHASSIS,CAB / CHASSIS,CC-410  CABINA/CHASSIS-CABINA,C¢digo Secundario,01-08-16 16:15,55.45,0.9,No programado,AJUSTE DE CLUTCHER DEL COMPRESOR A/C,A / C COMPRESSOR CLUTCHER ADJUSTMENT,ENTRADA DE COMBUSTIBLE
TK422,01-08-16 19:22,Week-02,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,01-08-16 22:37,195.18,3.3,Programado,LAVADO PARA PM,WASH FOR PM,ENTRADA QQ
TK422,01-08-16 22:37,Week-02,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,01-09-16 4:35,357.62,6,No programado,PM 500 HRS,PM 500 HRS,ENTRADA QQ
TK403,01-09-16 7:17,Week-02,CABINA/CHASSIS,CAB / CHASSIS,CC-425  CABINA/CHASSIS-SUSPENSION DELANTERA,C¢digo Secundario,01-09-16 10:48,211,3.5,No programado,ROSA LA LLANTA POSICI?N #1 CON EL CHASIS ,ROSE THE PLATE POSITION # 1 WITH THE CHASSIS,HR2-HR10
TK408,01-09-16 8:59,Week-02,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,01-09-16 12:04,184.82,3.1,No programado,PEDAL DEL FRENO DE SERVICIO SE TRABA Y EMITE UN RUIDO,SERVICE BRAKE PEDAL WORKED AND EMITS A NOISE,ENTRADA TALLER 
TK403,01-09-16 10:48,Week-02,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2015  GOMAS, AROS Y LLANTAS-RUEDA DELANTERA",C¢digo Secundario,01-09-16 14:18,210.43,3.5,No programado,REALIZAR ALINEACI?N DE LAS RUEDAS DELANTERAS,ALIGN THE FRONT WHEELS,HR2-HR10
TK403,01-09-16 14:18,Week-02,DIRECCION,ADDRESS,ST-1815  DIRECCION-TIE ROD,C¢digo Secundario,01-09-16 15:50,92.05,1.5,No programado,AJUSTE EN EL SISTEMA DE CONVERGENCIA,ADJUSTMENT IN THE CONVERGENCE SYSTEM,HR2-HR10
TK408,01-10-16 14:10,Week-02,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-810  ELECTRICO 12/24 VOLTS-BATERIA,C¢digo Secundario,01-10-16 15:27,77.18,1.3,No programado,NO ENCIENDE POR BATER?A ,DO NOT IGNITE BY BEAT?,MO-21
TK408,01-11-16 5:45,Week-02,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,01-11-16 8:25,160.3,2.7,No programado,AIRE PARA ENCENDIDO ,AIR FOR IGNITION,HR1-VIA4
TK403,01-11-16 9:37,Week-03,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,01-11-16 11:05,88.35,1.5,No programado,UNA MANGUERA DEL CONVERTIDOR DE PAR PICHADA,A PICTURE PAR CONVERTER HOSE,CRUCE HR5 Y HR3
TK408,01-11-16 6:30,Week-03,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,01-11-16 11:38,308.6,5.1,No programado,AIRE PARA ENCENDIDO ,AIR FOR IGNITION,HR1-VIA4
TK403,01-11-16 11:05,Week-03,HIDRAULICO,HYDRAULIC,HY-1245  HIDRAULICO-BOMBAS,C¢digo Secundario,01-11-16 16:12,306.67,5.1,No programado,CAMBIO DE TUBER?A DE SUCCI?N DEL DEP?SITO DE DIRECCI?N DE BOMBA ,CHANGE OF PUMP DIRECTION DEPTH SUCTION,CRUCE HR5 Y HR3
TK434,01-12-16 7:49,Week-03,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,01-12-16 15:17,448.07,7.5,No programado,LLANTA POSICI?N #5 PICHADA,SPINDLE POSITION # 5,HR7-VIA7
TK434,01-12-16 15:44,Week-03,LUBRICACION,LUBRICATION,LU-1405  LUBRICACION-SISTEMA DE LUBRICACION,C¢digo Secundario,01-12-16 17:23,98.92,1.6,No programado,COMPLETAR GRASA,COMPLETE FAT,HR7-VIA7
TK434,01-12-16 22:35,Week-03,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2005  GOMAS, AROS Y LLANTAS-AROS/ACCESORIOS",C¢digo Secundario,01-12-16 23:37,62.12,1,No programado,RETORQUEO DE LLANTA POSICI?N 6,POST-ROLL RETRIEVAL 6,ENTRADA DE COMBUSTIBLE
TK408,1/13/2016 5:37,Week-03,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,1/13/2016 8:51,194.22,3.2,No programado,FUGA DE ACEITE HIDR?ULICO EN UNA MANGUERA DEL CONVERTIDOR DE PAR,HYDRAULIC OIL LEAKAGE IN A COUPLING CONVERTER HOSE,PQ-VIA2
TK408,1/13/2016 10:09,Week-03,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-810  ELECTRICO 12/24 VOLTS-BATERIA,C¢digo Secundario,1/13/2016 12:18,128.48,2.1,No programado,NO ENCIENDE POR BAJO VOLTAGE Y FALTA DE AIRE,DO NOT TURN ON LOW VOLTAGE AND LACK OF AIR,D-PAGA/190
TK408,1/13/2016 13:34,Week-03,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,1/13/2016 20:45,430.87,7.2,Programado,LAVADO PARA REALIZAR PM,WASH TO MAKE PM,ENTRADA DE COMBUSTIBLE
TK422,1/13/2016 19:34,Week-03,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-820  ELECTRICO 12/24 VOLTS-LUCES,C¢digo Secundario,1/13/2016 20:55,81.18,1.4,No programado,CAMBIO DE LUCES DE CAMARAS TRASERAS,CHANGE OF REAR CAMERA LIGHTS,ENTRADA DE COMBUSTIBLE
TK434,1/13/2016 22:47,Week-03,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/14/2016 2:16,208.47,3.5,No programado,FALLA DE FRENOS,BRAKES FAILURE,HR7-VIA8
TK403,1/14/2016 4:09,Week-03,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,1/14/2016 7:54,224.48,3.7,Programado,LAVADO PARA REALIZAR PM,WASH TO MAKE PM,ENTRADA DE COMBUSTIBLE
TK408,1/13/2016 20:45,Week-03,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/14/2016 12:32,947,15.8,No programado,PM 4000 HRS,PM 4000 HRS,ENTRADA DE COMBUSTIBLE
TK403,1/14/2016 7:54,Week-03,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/14/2016 14:49,415.42,6.9,Programado,PM 1000 HRS,PM 1000 HRS,ENTRADA DE COMBUSTIBLE
TK408,1/14/2016 12:32,Week-03,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,1/14/2016 14:49,137.67,2.3,No programado,CAMBIO DE MANGUERAS HIDRAULICA DEL CONVERTIDOR,CHANGE OF HYDRAULIC CONVERTER HOSE,ENTRADA DE COMBUSTIBLE
TK434,1/14/2016 2:30,Week-03,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/14/2016 15:47,797.3,13.3,No programado,CAMBIO DE TUBERIA DE LOS FRENOS TRASEROS POR ROTURA,CHANGE OF REAR BRAKE PIPE BY BREAK,HR7-VIA8
TK408,1/14/2016 14:49,Week-03,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,1/14/2016 15:51,61.18,1,Programado,INSPECCION DE LAS CAMARAS DE SEGURIDAD,INSPECTION OF SECURITY CAMERAS,ENTRADA DE COMBUSTIBLE
TK434,1/14/2016 15:47,Week-03,LUBRICACION,LUBRICATION,LU-1405  LUBRICACION-SISTEMA DE LUBRICACION,C¢digo Secundario,1/14/2016 16:05,18.28,0.3,No programado,CALIBRACION DE LOS INYECTORES DE GRASA,CALIBRATION OF GREASE INJECTORS,HR7-VIA8
TK403,1/14/2016 14:49,Week-03,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,1/14/2016 16:29,99.75,1.7,Programado,INSPECCION DE LAS CAMARAS DE SEGURIDAD,INSPECTION OF SECURITY CAMERAS,ENTRADA DE COMBUSTIBLE
TK408,1/14/2016 21:21,Week-03,MOTOR,MOTOR,EN-1035  MOTOR-ACEITE,C¢digo Secundario,1/14/2016 23:04,102.6,1.7,No programado,AJUSTE DE VARILLA DE MEDIR ACEITE DE MOTOR,RUB ADJUSTMENT TO MEASURE ENGINE OIL,HR1 CRUCE LLAGAL
TK422,1/15/2016 3:42,Week-03,MOTOR,MOTOR,EN-1010  MOTOR-ENFRIAMIENTO,C¢digo Secundario,1/15/2016 5:39,116.85,1.9,No programado,EVENTO TEMPERATURA REFRIGERANTE DE MOTOR NIVEL 3,EVENT TEMPERATURE MOTOR COOLANT LEVEL 3,HR1-VIA4
TK408,1/15/2016 19:45,Week-03,SEGURIDAD,SECURITY,SF-1610  SEGURIDAD-CAMARA,C¢digo Secundario,1/15/2016 21:35,109.9,1.8,No programado,INSTALACION DE MONITOR DE LAS CAMARAS,INSTALLATION OF CAMERA MONITOR,ENTRADA DE COMBUSTIBLE
TK408,1/15/2016 21:35,Week-03,CABINA/CHASSIS,CAB / CHASSIS,CC-410  CABINA/CHASSIS-CABINA,C¢digo Secundario,1/15/2016 21:50,15.58,0.3,No programado,INSPECCION DE CABINA Y CAIDA DE LA TOLVA,CABIN INSPECTION AND HOPPER FALL,ENTRADA DE COMBUSTIBLE
TK408,1/15/2016 23:52,Week-03,IMPLEMENTOS,IMPLEMENTS,IM-1350  IMPLEMENTOS-TOLVA/CAMA,C¢digo Secundario,1/16/2016 0:42,49.88,0.8,No programado,AJUSTE DE PALANCA DE LA TOLVA,TOLER LEVER ADJUSTMENT,ENTRADA TALLER 
TK434,1/16/2016 7:53,Week-03,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/16/2016 11:28,214.93,3.6,Programado,INSP. 250 HRS,INSP.†250 HRS,ENTRADA DE COMBUSTIBLE
TK434,1/18/2016 2:05,Week-03,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/18/2016 2:16,10.85,0.2,No programado,SE REINICI? EL SISTEMA DEL MOTO CHANVEL,HAVE YOU REBORNED?†THE MOTO CHANVEL SYSTEM,MO210B701
TK408,1/18/2016 6:52,Week-04,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,1/18/2016 7:23,30.98,0.5,No programado,AIRE PARA ENCENDIDO ,AIR FOR IGNITION,MO-13
TK408,1/18/2016 7:28,Week-04,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,1/18/2016 7:46,18.37,0.3,No programado,NO ENCIEDE POR AIRE,DO NOT LIE BY AIR,MO-13
TK422,1/18/2016 11:00,Week-04,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,1/18/2016 15:49,288.57,4.8,No programado,FUGA DE ACEITE HIDR?ULICO ,HYDRAULIC OIL LEAKAGE,MN-16
TK434,1/19/2016 5:23,Week-04,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/19/2016 5:56,32.67,0.5,No programado,EVENTO NIVEL 3 CARRERA DE FRENOS ALTO,EVENT LEVEL 3 HIGH BRAKE RACE,MN-15
TK422,1/19/2016 21:07,Week-04,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-820  ELECTRICO 12/24 VOLTS-LUCES,C¢digo Secundario,1/19/2016 21:16,8.72,0.1,No programado,LUCES FRONTAL DE TRABAJO DE ABAJO QUEMADA,FRONT WORK LIGHTS BELOW BURN,ENTRADA TALLER 
TK422,1/20/2016 11:28,Week-04,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/20/2016 15:29,240.98,4,Programado,INS 250 HRS ,INS 250 HRS,ENTRADA DE COMBUSTIBLE
TK422,1/21/2016 7:06,Week-04,MOTOR,MOTOR,EN-1035  MOTOR-ACEITE,C¢digo Secundario,1/21/2016 8:17,70.93,1.2,No programado,FUGA POR DEBAJO DEL MOTOR NIVEL 1,LEAK UNDER ENGINE LEVEL 1,MO210B014
TK422,1/21/2016 18:49,Week-04,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,1/21/2016 22:57,247.93,4.1,No programado,FUGA DE ACEITE HIDRAULICO POR MANGUERA DETRAS DEL TRANQUE,HYDRAULIC OIL LEAKAGE BY HOSE BEHIND THE TRANSFER,MN-16
TK403,1/22/2016 10:20,Week-04,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/22/2016 11:22,61.3,1,No programado,ESCAPE DE AIRE EN PALANCA DE FRENO DE PARQUEO,AIR EXHAUST IN PARK BRAKE LEVER,ENTRADA DE COMBUSTIBLE
TK408,1/22/2016 13:38,Week-04,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2005  GOMAS, AROS Y LLANTAS-AROS/ACCESORIOS",C¢digo Secundario,1/22/2016 15:15,96.98,1.6,No programado,FUGA HIDRAULICA POR PAQUETE DE FRENOS POSICION 1,HYDRAULIC LEAKAGE BY BRAKE PACK POSITION 1,COMBUSTIBLE TALLER
TK403,1/22/2016 15:21,Week-04,SEGURIDAD,SECURITY,SF-1630  SEGURIDAD-RADIO DE MINA,C¢digo Secundario,1/22/2016 15:49,27.98,0.5,No programado,REPARACION DE RADIO DE COMUNICACION,RADIO COMMUNICATION REPAIR,CRUCE HR5 Y HR3
TK422,1/24/2016 3:57,Week-04,SEGURIDAD,SECURITY,SF-1620  SEGURIDAD-SUPRESION DE INCENDIOS,C¢digo Secundario,1/24/2016 4:36,38.37,0.6,No programado,REPARACION DE CORTO CIRCUITO ENTRE LINEAS DE ALIMENTACION DEL MODULO DE CONTROL DEL SISTEMA AFEX,REPAIR OF SHORT CIRCUIT BETWEEN POWER LINES OF THE AFEX SYSTEM CONTROL MODULE,ENTRADA TALLER 
TK403,1/24/2016 7:49,Week-04,HIDRAULICO,HYDRAULIC,HY-1250  HIDRAULICO-TANQUE,C¢digo Secundario,1/24/2016 8:08,18.78,0.3,No programado,COMPLETIVO DE HIDRAULICO,COMPLETIVO DE HIDRAULICO,HR6-VIA2
TK408,1/24/2016 9:31,Week-04,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,1/24/2016 10:29,58.12,1,No programado,INSPECCION POR FUGA DE ACEITE POR PAQUETE DE FRENOS POSISICON 2,INSPECTION FOR OIL LEAKAGE BY POSISICON 2 BRAKE PACKAGE,ENTRADA DE COMBUSTIBLE
TK408,1/24/2016 12:35,Week-04,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,1/24/2016 14:01,85.73,1.4,No programado,INSPECCION DE EVENTO DE VELOCIDAD DE MOTOR,ENGINE SPEED EVENT INSPECTION,ENTRADA QQ
TK408,1/24/2016 14:01,Week-04,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,1/24/2016 14:37,36.33,0.6,No programado,INSPECCION DE LLANTA POSICION 6,ROLL INSPECTION POSITION 6,ENTRADA QQ
TK434,1/24/2016 12:50,Week-04,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-830  ELECTRICO 12/24 VOLTS-CABLEADO,C¢digo Secundario,1/25/2016 0:41,710.82,11.8,No programado,REPARACION DE LINEA ABIERTA DE ALIMENTACION DE LAS BATERIAS,OPEN BATTERY SUPPLY LINE REPAIR,HR6-VIA3
TK403,1/26/2016 15:13,Week-05,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/26/2016 18:05,172.08,2.9,Programado,INS 250 HRS,INS 250 HRS,HR6-VIA2
TK434,1/26/2016 12:05,Week-05,CABINA/CHASSIS,CAB / CHASSIS,CC-410  CABINA/CHASSIS-CABINA,C¢digo Secundario,1/26/2016 22:19,614.37,10.2,No programado,FALLA EN EL AIRE ACONDICIONADO ,FAILURE IN THE AIR CONDITIONING,ENTRADA DE COMBUSTIBLE
TK408,1/27/2016 21:26,Week-05,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,1/27/2016 22:19,53.37,0.9,Programado,LAVADO PARA PM,WASH FOR PM,ENTRADA DE COMBUSTIBLE
TK422,1/27/2016 22:05,Week-05,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,1/27/2016 23:46,100.8,1.7,No programado,ROCA INCRUSTRADA ENTRE LLANTAS 3 Y 4,ROCK INCREASED BETWEEN RIMS 3 AND 4,MN-08
TK408,1/27/2016 22:19,Week-05,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/28/2016 0:19,119.43,2,Programado,PM 250 HRS,PM 250 HRS,ENTRADA DE COMBUSTIBLE
TK408,1/28/2016 0:19,Week-05,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,1/28/2016 0:40,21.27,0.4,Programado,INSPECCION DE LLANTAS,INSPECTION OF TIRES,ENTRADA DE COMBUSTIBLE
TK403,1/28/2016 20:14,Week-05,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,1/28/2016 23:33,199.18,3.3,No programado,FUGA POR TUBO DE SUCCION DE BOMBA DE DIRECCION,STEERING PUMP SUCTION TUBE LEAK,ENTRADA DE COMBUSTIBLE
TK434,1/29/2016 5:14,Week-05,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,1/29/2016 8:52,217.97,3.6,Programado,LAVADO PARA PM,WASH FOR PM,ENTRADA DE COMBUSTIBLE
TK408,1/29/2016 12:33,Week-05,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,1/29/2016 15:48,194.75,3.2,No programado,REPARACION DEL PULSADOR DE LA BACINA,BACINA PUSH-BUTTON REPAIR,MO-14
TK434,1/29/2016 8:52,Week-05,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,1/30/2016 3:56,1144.57,19.1,Programado,PM 500 HRS,PM 500 HRS,ENTRADA DE COMBUSTIBLE
